,Label,Skin Type,Characteristics,Skincare Recommendations,Soap Recommendation,Cream Recommendation,Scrub Recommendation,Face Cleanser Recommendation,Face Cream Recommendation,Common Skin Concerns
108,109,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
109,110,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
110,111,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
111,112,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
112,113,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
113,114,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
114,115,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
115,116,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
116,117,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
117,118,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
118,119,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
119,120,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
120,121,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
121,122,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
122,123,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
123,124,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
124,125,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
125,126,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
126,127,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
127,128,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
128,129,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
129,130,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
130,131,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
131,132,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
132,133,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
133,134,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
134,135,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
135,136,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
136,137,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
137,138,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
138,139,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
139,140,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
140,141,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
141,142,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
142,143,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
143,144,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
144,145,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
145,146,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
146,147,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
147,148,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
148,149,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
149,150,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
150,151,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
151,152,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
152,153,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
153,154,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
154,155,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
155,156,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
156,157,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
157,158,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
158,159,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
159,160,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
160,161,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
161,162,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
162,163,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
163,164,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
164,165,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
165,166,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
166,167,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
167,168,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
168,169,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
169,170,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
170,171,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
171,172,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
172,173,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
173,174,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
